Id,Category
0,OOK
1,OOK
2,OOK
3,FM
4,OOK
5,OOK
6,OOK
7,8PSK
8,OOK
9,OOK
10,OOK
11,AM-SSB-SC
12,OOK
13,16PSK
14,8PSK
15,AM-DSB-SC
16,QPSK
17,FM
18,QPSK
19,4ASK
20,QPSK
21,AM-SSB-SC
22,OQPSK
23,OOK
24,QPSK
25,QPSK
26,OQPSK
27,OOK
28,AM-SSB-SC
29,8PSK
30,8PSK
31,OOK
32,16PSK
33,QPSK
34,QPSK
35,OQPSK
36,OQPSK
37,OQPSK
38,QPSK
39,OOK
40,16PSK
41,OOK
42,OOK
43,8PSK
44,AM-DSB-SC
45,QPSK
46,OOK
47,OOK
48,OOK
49,4ASK
50,OOK
51,OOK
52,QPSK
53,AM-DSB-SC
54,AM-DSB-SC
55,AM-SSB-SC
56,OOK
57,QPSK
58,OQPSK
59,OOK
60,OOK
61,4ASK
62,AM-SSB-SC
63,AM-DSB-SC
64,QPSK
65,8PSK
66,OOK
67,AM-SSB-SC
68,AM-SSB-SC
69,OOK
70,16PSK
71,8PSK
72,16PSK
73,OQPSK
74,FM
75,OOK
76,QPSK
77,AM-SSB-SC
78,8PSK
79,4ASK
80,OOK
81,OOK
82,QPSK
83,OOK
84,OOK
85,QPSK
86,OOK
87,OOK
88,OOK
89,BPSK
90,AM-SSB-SC
91,QPSK
92,4ASK
93,OOK
94,AM-SSB-SC
95,OOK
96,QPSK
97,OOK
98,16PSK
99,BPSK
100,QPSK
101,OOK
102,QPSK
103,16PSK
104,OOK
105,QPSK
106,OOK
107,OOK
108,OOK
109,16PSK
110,OOK
111,4ASK
112,OOK
113,AM-DSB-SC
114,OQPSK
115,AM-SSB-SC
116,BPSK
117,OQPSK
118,OOK
119,8PSK
120,QPSK
121,OOK
122,FM
123,8PSK
124,OOK
125,OOK
126,BPSK
127,AM-SSB-SC
128,AM-SSB-SC
129,AM-SSB-SC
130,AM-DSB-SC
131,AM-SSB-SC
132,QPSK
133,FM
134,OQPSK
135,OOK
136,OOK
137,8PSK
138,OOK
139,16PSK
140,OOK
141,AM-SSB-SC
142,FM
143,OOK
144,AM-DSB-SC
145,QPSK
146,OOK
147,4ASK
148,AM-DSB-SC
149,BPSK
150,BPSK
151,OOK
152,AM-DSB-SC
153,FM
154,AM-SSB-SC
155,OOK
156,OOK
157,FM
158,BPSK
159,OQPSK
160,FM
161,OOK
162,OOK
163,OOK
164,OOK
165,OOK
166,QPSK
167,4ASK
168,BPSK
169,16PSK
170,FM
171,AM-SSB-SC
172,8PSK
173,OOK
174,OOK
175,AM-SSB-SC
176,8PSK
177,OOK
178,OOK
179,QPSK
180,OQPSK
181,OOK
182,AM-DSB-SC
183,QPSK
184,OOK
185,OOK
186,OOK
187,OOK
188,QPSK
189,8PSK
190,OQPSK
191,FM
192,AM-SSB-SC
193,QPSK
194,OOK
195,OQPSK
196,8PSK
197,OOK
198,OOK
199,OOK
200,OOK
201,AM-SSB-SC
202,BPSK
203,QPSK
204,QPSK
205,AM-DSB-SC
206,QPSK
207,OOK
208,16PSK
209,OOK
210,OOK
211,OQPSK
212,4ASK
213,OQPSK
214,4ASK
215,QPSK
216,FM
217,OOK
218,8PSK
219,16PSK
220,QPSK
221,QPSK
222,OOK
223,OOK
224,OOK
225,OQPSK
226,OOK
227,AM-DSB-SC
228,OQPSK
229,AM-SSB-SC
230,AM-SSB-SC
231,4ASK
232,8PSK
233,OQPSK
234,BPSK
235,QPSK
236,AM-SSB-SC
237,FM
238,OOK
239,QPSK
240,AM-DSB-SC
241,OOK
242,QPSK
243,OQPSK
244,OOK
245,QPSK
246,OQPSK
247,16PSK
248,BPSK
249,OOK
250,AM-SSB-SC
251,16PSK
252,FM
253,OQPSK
254,BPSK
255,BPSK
256,QPSK
257,4ASK
258,AM-DSB-SC
259,OOK
260,AM-SSB-SC
261,8PSK
262,16PSK
263,FM
264,QPSK
265,OOK
266,AM-DSB-SC
267,8PSK
268,OOK
269,QPSK
270,OOK
271,OOK
272,OOK
273,AM-SSB-SC
274,OQPSK
275,QPSK
276,OQPSK
277,QPSK
278,16PSK
279,AM-SSB-SC
280,OOK
281,16PSK
282,AM-SSB-SC
283,8PSK
284,AM-DSB-SC
285,FM
286,QPSK
287,OOK
288,8PSK
289,OOK
290,BPSK
291,FM
292,OOK
293,16PSK
294,AM-SSB-SC
295,QPSK
296,OOK
297,OOK
298,8PSK
299,OOK
300,OQPSK
301,8PSK
302,BPSK
303,AM-SSB-SC
304,AM-DSB-SC
305,8PSK
306,16PSK
307,OQPSK
308,OOK
309,OOK
310,BPSK
311,FM
312,FM
313,AM-SSB-SC
314,QPSK
315,16PSK
316,AM-SSB-SC
317,4ASK
318,FM
319,16PSK
320,8PSK
321,OOK
322,BPSK
323,AM-DSB-SC
324,OOK
325,4ASK
326,AM-DSB-SC
327,BPSK
328,8PSK
329,8PSK
330,8PSK
331,16PSK
332,BPSK
333,QPSK
334,BPSK
335,AM-SSB-SC
336,4ASK
337,QPSK
338,QPSK
339,OOK
340,QPSK
341,OOK
342,QPSK
343,QPSK
344,AM-DSB-SC
345,FM
346,QPSK
347,OOK
348,8PSK
349,AM-SSB-SC
350,16PSK
351,AM-SSB-SC
352,16PSK
353,OOK
354,OOK
355,OOK
356,OOK
357,OOK
358,BPSK
359,AM-DSB-SC
360,OOK
361,8PSK
362,FM
363,AM-DSB-SC
364,OOK
365,OQPSK
366,QPSK
367,4ASK
368,AM-SSB-SC
369,8PSK
370,FM
371,FM
372,OOK
373,8PSK
374,OOK
375,QPSK
376,AM-DSB-SC
377,8PSK
378,AM-DSB-SC
379,OOK
380,OOK
381,OOK
382,OOK
383,AM-DSB-SC
384,OOK
385,BPSK
386,FM
387,8PSK
388,OOK
389,4ASK
390,OOK
391,4ASK
392,AM-SSB-SC
393,QPSK
394,OOK
395,QPSK
396,OQPSK
397,QPSK
398,QPSK
399,OQPSK
400,AM-DSB-SC
401,OOK
402,OOK
403,8PSK
404,OOK
405,OOK
406,8PSK
407,AM-SSB-SC
408,AM-DSB-SC
409,4ASK
410,OOK
411,16PSK
412,8PSK
413,OOK
414,OOK
415,4ASK
416,16PSK
417,AM-DSB-SC
418,OQPSK
419,AM-DSB-SC
420,8PSK
421,BPSK
422,OOK
423,OOK
424,AM-SSB-SC
425,OOK
426,OOK
427,8PSK
428,OOK
429,OOK
430,OQPSK
431,8PSK
432,OOK
433,AM-DSB-SC
434,OOK
435,8PSK
436,AM-SSB-SC
437,OQPSK
438,FM
439,8PSK
440,QPSK
441,OOK
442,AM-DSB-SC
443,8PSK
444,OOK
445,16PSK
446,OOK
447,BPSK
448,8PSK
449,OOK
450,QPSK
451,16PSK
452,QPSK
453,OOK
454,OOK
455,8PSK
456,OQPSK
457,AM-DSB-SC
458,4ASK
459,8PSK
460,BPSK
461,8PSK
462,OQPSK
463,OOK
464,OOK
465,QPSK
466,16PSK
467,OOK
468,8PSK
469,BPSK
470,4ASK
471,QPSK
472,OOK
473,8PSK
474,OQPSK
475,OOK
476,OQPSK
477,FM
478,BPSK
479,BPSK
480,OQPSK
481,OOK
482,OOK
483,QPSK
484,BPSK
485,8PSK
486,16PSK
487,QPSK
488,QPSK
489,OOK
490,OOK
491,FM
492,4ASK
493,OQPSK
494,8PSK
495,OOK
496,BPSK
497,OOK
498,BPSK
499,BPSK
500,AM-DSB-SC
501,OOK
502,OOK
503,16PSK
504,OOK
505,QPSK
506,16PSK
507,OOK
508,OOK
509,OOK
510,AM-SSB-SC
511,16PSK
512,4ASK
513,AM-SSB-SC
514,OOK
515,QPSK
516,OOK
517,AM-DSB-SC
518,OQPSK
