Id,Category
0,OOK
1,OOK
2,4ASK
3,FM
4,QPSK
5,QPSK
6,QPSK
7,4ASK
8,4ASK
9,8PSK
10,4ASK
11,AM-SSB-SC
12,4ASK
13,16PSK
14,8PSK
15,AM-DSB-SC
16,QPSK
17,FM
18,QPSK
19,4ASK
20,8PSK
21,AM-SSB-SC
22,AM-SSB-SC
23,QPSK
24,QPSK
25,QPSK
26,OQPSK
27,4ASK
28,BPSK
29,8PSK
30,8PSK
31,8PSK
32,16PSK
33,4ASK
34,QPSK
35,OQPSK
36,OQPSK
37,OQPSK
38,QPSK
39,QPSK
40,AM-DSB-SC
41,OOK
42,QPSK
43,8PSK
44,AM-DSB-SC
45,QPSK
46,OOK
47,8PSK
48,QPSK
49,4ASK
50,OOK
51,4ASK
52,QPSK
53,AM-DSB-SC
54,AM-DSB-SC
55,OQPSK
56,QPSK
57,8PSK
58,OQPSK
59,4ASK
60,QPSK
61,4ASK
62,AM-SSB-SC
63,AM-DSB-SC
64,QPSK
65,BPSK
66,8PSK
67,AM-SSB-SC
68,AM-SSB-SC
69,8PSK
70,16PSK
71,AM-SSB-SC
72,16PSK
73,OQPSK
74,FM
75,OOK
76,4ASK
77,4ASK
78,4ASK
79,4ASK
80,8PSK
81,4ASK
82,QPSK
83,QPSK
84,QPSK
85,QPSK
86,4ASK
87,OOK
88,4ASK
89,BPSK
90,AM-SSB-SC
91,4ASK
92,4ASK
93,QPSK
94,AM-SSB-SC
95,4ASK
96,QPSK
97,OOK
98,AM-SSB-SC
99,BPSK
100,8PSK
101,4ASK
102,4ASK
103,16PSK
104,QPSK
105,QPSK
106,QPSK
107,OOK
108,QPSK
109,16PSK
110,QPSK
111,4ASK
112,QPSK
113,AM-DSB-SC
114,OQPSK
115,4ASK
116,BPSK
117,OQPSK
118,4ASK
119,8PSK
120,QPSK
121,OOK
122,FM
123,8PSK
124,FM
125,4ASK
126,BPSK
127,AM-SSB-SC
128,AM-SSB-SC
129,AM-SSB-SC
130,AM-DSB-SC
131,4ASK
132,QPSK
133,FM
134,OQPSK
135,QPSK
136,OOK
137,8PSK
138,4ASK
139,16PSK
140,QPSK
141,AM-SSB-SC
142,FM
143,4ASK
144,AM-DSB-SC
145,QPSK
146,OOK
147,4ASK
148,AM-DSB-SC
149,BPSK
150,BPSK
151,8PSK
152,AM-SSB-SC
153,FM
154,4ASK
155,OOK
156,OOK
157,FM
158,BPSK
159,OQPSK
160,FM
161,QPSK
162,QPSK
163,QPSK
164,QPSK
165,8PSK
166,4ASK
167,AM-SSB-SC
168,BPSK
169,16PSK
170,FM
171,AM-SSB-SC
172,8PSK
173,QPSK
174,OOK
175,AM-SSB-SC
176,8PSK
177,QPSK
178,4ASK
179,QPSK
180,OQPSK
181,8PSK
182,AM-DSB-SC
183,16PSK
184,8PSK
185,QPSK
186,QPSK
187,16PSK
188,QPSK
189,8PSK
190,OQPSK
191,FM
192,AM-SSB-SC
193,16PSK
194,FM
195,OQPSK
196,AM-DSB-SC
197,QPSK
198,OOK
199,OOK
200,OOK
201,AM-SSB-SC
202,BPSK
203,8PSK
204,QPSK
205,AM-DSB-SC
206,QPSK
207,4ASK
208,16PSK
209,4ASK
210,QPSK
211,BPSK
212,4ASK
213,OQPSK
214,4ASK
215,QPSK
216,FM
217,QPSK
218,4ASK
219,16PSK
220,QPSK
221,QPSK
222,OOK
223,QPSK
224,4ASK
225,OQPSK
226,QPSK
227,AM-DSB-SC
228,OQPSK
229,AM-SSB-SC
230,AM-DSB-SC
231,4ASK
232,8PSK
233,OQPSK
234,BPSK
235,16PSK
236,AM-SSB-SC
237,FM
238,QPSK
239,QPSK
240,AM-DSB-SC
241,8PSK
242,4ASK
243,OQPSK
244,QPSK
245,QPSK
246,OQPSK
247,16PSK
248,BPSK
249,QPSK
250,OOK
251,16PSK
252,FM
253,OQPSK
254,BPSK
255,BPSK
256,QPSK
257,4ASK
258,AM-DSB-SC
259,OOK
260,AM-SSB-SC
261,8PSK
262,16PSK
263,FM
264,QPSK
265,QPSK
266,16PSK
267,8PSK
268,QPSK
269,QPSK
270,4ASK
271,QPSK
272,QPSK
273,AM-SSB-SC
274,OQPSK
275,QPSK
276,OQPSK
277,16PSK
278,16PSK
279,AM-SSB-SC
280,4ASK
281,16PSK
282,AM-SSB-SC
283,4ASK
284,AM-DSB-SC
285,FM
286,4ASK
287,4ASK
288,8PSK
289,QPSK
290,BPSK
291,FM
292,QPSK
293,4ASK
294,AM-SSB-SC
295,QPSK
296,QPSK
297,QPSK
298,8PSK
299,QPSK
300,4ASK
301,8PSK
302,BPSK
303,AM-SSB-SC
304,AM-DSB-SC
305,8PSK
306,16PSK
307,OQPSK
308,QPSK
309,OOK
310,BPSK
311,FM
312,4ASK
313,AM-DSB-SC
314,QPSK
315,16PSK
316,AM-SSB-SC
317,AM-SSB-SC
318,FM
319,16PSK
320,4ASK
321,QPSK
322,BPSK
323,AM-DSB-SC
324,4ASK
325,4ASK
326,4ASK
327,BPSK
328,AM-SSB-SC
329,8PSK
330,8PSK
331,16PSK
332,BPSK
333,16PSK
334,BPSK
335,AM-DSB-SC
336,4ASK
337,QPSK
338,QPSK
339,QPSK
340,4ASK
341,4ASK
342,QPSK
343,QPSK
344,AM-DSB-SC
345,FM
346,QPSK
347,QPSK
348,AM-SSB-SC
349,4ASK
350,16PSK
351,AM-SSB-SC
352,16PSK
353,OOK
354,OOK
355,4ASK
356,16PSK
357,QPSK
358,BPSK
359,4ASK
360,QPSK
361,8PSK
362,FM
363,AM-DSB-SC
364,4ASK
365,OQPSK
366,4ASK
367,4ASK
368,AM-SSB-SC
369,8PSK
370,4ASK
371,FM
372,4ASK
373,8PSK
374,4ASK
375,4ASK
376,AM-DSB-SC
377,8PSK
378,4ASK
379,4ASK
380,OOK
381,QPSK
382,QPSK
383,4ASK
384,QPSK
385,BPSK
386,FM
387,16PSK
388,4ASK
389,4ASK
390,4ASK
391,4ASK
392,4ASK
393,QPSK
394,4ASK
395,4ASK
396,OOK
397,QPSK
398,QPSK
399,OQPSK
400,AM-DSB-SC
401,QPSK
402,4ASK
403,8PSK
404,4ASK
405,4ASK
406,8PSK
407,AM-SSB-SC
408,AM-DSB-SC
409,4ASK
410,OOK
411,16PSK
412,8PSK
413,QPSK
414,QPSK
415,4ASK
416,16PSK
417,AM-SSB-SC
418,AM-SSB-SC
419,AM-DSB-SC
420,8PSK
421,BPSK
422,4ASK
423,8PSK
424,AM-SSB-SC
425,QPSK
426,4ASK
427,8PSK
428,OOK
429,QPSK
430,OQPSK
431,4ASK
432,FM
433,AM-DSB-SC
434,QPSK
435,8PSK
436,AM-SSB-SC
437,OQPSK
438,FM
439,4ASK
440,4ASK
441,OOK
442,AM-DSB-SC
443,8PSK
444,QPSK
445,QPSK
446,OQPSK
447,BPSK
448,8PSK
449,16PSK
450,QPSK
451,16PSK
452,QPSK
453,4ASK
454,4ASK
455,8PSK
456,OQPSK
457,AM-DSB-SC
458,4ASK
459,8PSK
460,BPSK
461,8PSK
462,OQPSK
463,OOK
464,OOK
465,QPSK
466,16PSK
467,8PSK
468,8PSK
469,AM-SSB-SC
470,4ASK
471,QPSK
472,OOK
473,4ASK
474,OQPSK
475,4ASK
476,OQPSK
477,FM
478,BPSK
479,BPSK
480,OQPSK
481,OOK
482,OOK
483,QPSK
484,BPSK
485,8PSK
486,16PSK
487,QPSK
488,QPSK
489,4ASK
490,QPSK
491,FM
492,4ASK
493,OQPSK
494,8PSK
495,4ASK
496,BPSK
497,QPSK
498,BPSK
499,BPSK
500,AM-DSB-SC
501,4ASK
502,4ASK
503,AM-DSB-SC
504,4ASK
