Id,Category
0,OOK
1,OOK
2,4ASK
3,FM
4,OOK
5,4ASK
6,4ASK
7,AM-SSB-SC
8,4ASK
9,OOK
10,4ASK
11,AM-SSB-SC
12,4ASK
13,16PSK
14,8PSK
15,AM-DSB-SC
16,QPSK
17,FM
18,QPSK
19,AM-DSB-SC
20,4ASK
21,16PSK
22,4ASK
23,FM
24,QPSK
25,4ASK
26,OQPSK
27,OOK
28,8PSK
29,8PSK
30,AM-SSB-SC
31,4ASK
32,16PSK
33,4ASK
34,QPSK
35,OQPSK
36,OQPSK
37,OQPSK
38,QPSK
39,4ASK
40,AM-DSB-SC
41,OOK
42,4ASK
43,8PSK
44,AM-SSB-SC
45,QPSK
46,OOK
47,4ASK
48,4ASK
49,AM-DSB-SC
50,OOK
51,4ASK
52,QPSK
53,AM-DSB-SC
54,AM-SSB-SC
55,BPSK
56,4ASK
57,4ASK
58,OQPSK
59,4ASK
60,4ASK
61,4ASK
62,8PSK
63,8PSK
64,QPSK
65,4ASK
66,4ASK
67,8PSK
68,AM-SSB-SC
69,4ASK
70,AM-SSB-SC
71,8PSK
72,16PSK
73,AM-SSB-SC
74,FM
75,OOK
76,4ASK
77,8PSK
78,4ASK
79,AM-DSB-SC
80,4ASK
81,4ASK
82,4ASK
83,4ASK
84,OOK
85,BPSK
86,4ASK
87,OOK
88,4ASK
89,BPSK
90,16PSK
91,4ASK
92,AM-DSB-SC
93,4ASK
94,4ASK
95,4ASK
96,QPSK
97,4ASK
98,4ASK
99,8PSK
100,4ASK
101,OOK
102,4ASK
103,4ASK
104,4ASK
105,QPSK
106,4ASK
107,OOK
108,4ASK
109,16PSK
110,OOK
111,AM-SSB-SC
112,4ASK
113,AM-DSB-SC
114,OQPSK
115,8PSK
116,BPSK
117,OQPSK
118,4ASK
119,8PSK
120,QPSK
121,OOK
122,FM
123,8PSK
124,4ASK
125,4ASK
126,BPSK
127,AM-SSB-SC
128,AM-SSB-SC
129,AM-SSB-SC
130,AM-DSB-SC
131,4ASK
132,4ASK
133,FM
134,OQPSK
135,4ASK
136,OOK
137,AM-DSB-SC
138,4ASK
139,16PSK
140,OOK
141,AM-SSB-SC
142,FM
143,4ASK
144,AM-DSB-SC
145,QPSK
146,OOK
147,AM-DSB-SC
148,AM-DSB-SC
149,BPSK
150,BPSK
151,4ASK
152,AM-DSB-SC
153,FM
154,8PSK
155,OOK
156,OOK
157,FM
158,BPSK
159,OQPSK
160,FM
161,4ASK
162,4ASK
163,4ASK
164,4ASK
165,4ASK
166,4ASK
167,AM-DSB-SC
168,BPSK
169,AM-DSB-SC
170,FM
171,8PSK
172,4ASK
173,4ASK
174,OOK
175,8PSK
176,8PSK
177,4ASK
178,4ASK
179,4ASK
180,OQPSK
181,4ASK
182,AM-DSB-SC
183,4ASK
184,4ASK
185,4ASK
186,4ASK
187,4ASK
188,4ASK
189,8PSK
190,OQPSK
191,FM
192,8PSK
193,4ASK
194,4ASK
195,4ASK
196,4ASK
197,4ASK
198,4ASK
199,OOK
200,OOK
201,AM-SSB-SC
202,AM-SSB-SC
203,4ASK
204,QPSK
205,AM-DSB-SC
206,QPSK
207,4ASK
208,AM-DSB-SC
209,4ASK
210,4ASK
211,QPSK
212,AM-DSB-SC
213,OQPSK
214,AM-SSB-SC
215,QPSK
216,FM
217,4ASK
218,8PSK
219,AM-DSB-SC
220,4ASK
221,4ASK
222,OOK
223,4ASK
224,4ASK
225,4ASK
226,4ASK
227,AM-DSB-SC
228,OQPSK
229,AM-DSB-SC
230,AM-SSB-SC
231,16PSK
232,8PSK
233,OQPSK
234,BPSK
235,4ASK
236,4ASK
237,FM
238,4ASK
239,QPSK
240,AM-DSB-SC
241,4ASK
242,4ASK
243,OQPSK
244,4ASK
245,4ASK
246,OQPSK
247,AM-DSB-SC
248,BPSK
249,4ASK
250,4ASK
251,AM-DSB-SC
252,FM
253,4ASK
254,BPSK
255,AM-SSB-SC
256,QPSK
257,AM-SSB-SC
258,AM-DSB-SC
259,OOK
260,AM-SSB-SC
261,8PSK
262,16PSK
263,FM
264,QPSK
265,4ASK
266,AM-SSB-SC
267,8PSK
268,4ASK
269,QPSK
270,4ASK
271,4ASK
272,4ASK
273,16PSK
274,OQPSK
275,OOK
276,OQPSK
277,4ASK
278,AM-SSB-SC
279,8PSK
280,4ASK
281,16PSK
282,AM-SSB-SC
283,8PSK
284,AM-DSB-SC
285,FM
286,4ASK
287,4ASK
288,8PSK
289,4ASK
290,BPSK
291,FM
292,4ASK
293,AM-SSB-SC
294,AM-SSB-SC
295,4ASK
296,4ASK
297,4ASK
298,8PSK
299,4ASK
300,4ASK
301,8PSK
302,BPSK
303,8PSK
304,4ASK
305,4ASK
306,AM-SSB-SC
307,BPSK
308,4ASK
309,OOK
310,AM-SSB-SC
311,FM
312,4ASK
313,8PSK
314,QPSK
315,16PSK
316,AM-DSB-SC
317,4ASK
318,FM
319,16PSK
320,AM-SSB-SC
321,OOK
322,BPSK
323,AM-DSB-SC
324,4ASK
325,AM-DSB-SC
326,8PSK
327,AM-SSB-SC
328,AM-DSB-SC
329,AM-DSB-SC
330,8PSK
331,AM-SSB-SC
332,AM-SSB-SC
333,4ASK
334,BPSK
335,AM-SSB-SC
336,AM-DSB-SC
337,4ASK
338,QPSK
339,4ASK
340,4ASK
341,4ASK
342,4ASK
343,4ASK
344,AM-DSB-SC
345,FM
346,QPSK
347,4ASK
348,8PSK
349,AM-SSB-SC
350,AM-DSB-SC
351,AM-SSB-SC
352,AM-DSB-SC
353,OOK
354,OOK
355,4ASK
356,4ASK
357,4ASK
358,BPSK
359,AM-DSB-SC
360,4ASK
361,8PSK
362,FM
363,4ASK
364,4ASK
365,OQPSK
366,4ASK
367,8PSK
368,AM-SSB-SC
369,8PSK
370,4ASK
371,FM
372,4ASK
373,AM-SSB-SC
374,4ASK
375,OOK
376,8PSK
377,AM-SSB-SC
378,8PSK
379,4ASK
380,OOK
381,4ASK
382,4ASK
383,8PSK
384,4ASK
385,16PSK
386,FM
387,4ASK
388,4ASK
389,AM-DSB-SC
390,OOK
391,AM-DSB-SC
392,AM-DSB-SC
393,4ASK
394,4ASK
395,4ASK
396,OOK
397,4ASK
398,4ASK
399,OQPSK
400,AM-DSB-SC
401,4ASK
402,4ASK
403,8PSK
404,4ASK
405,4ASK
406,8PSK
407,8PSK
408,AM-DSB-SC
409,AM-DSB-SC
410,OOK
411,AM-DSB-SC
412,8PSK
413,4ASK
414,4ASK
415,AM-SSB-SC
416,16PSK
417,8PSK
418,4ASK
419,AM-DSB-SC
420,8PSK
421,BPSK
422,4ASK
423,4ASK
424,AM-DSB-SC
425,4ASK
426,4ASK
427,AM-DSB-SC
428,OOK
429,4ASK
430,OQPSK
431,8PSK
432,4ASK
433,AM-DSB-SC
434,4ASK
435,8PSK
436,8PSK
437,OQPSK
438,FM
439,8PSK
440,4ASK
441,OOK
442,AM-DSB-SC
443,8PSK
444,4ASK
445,AM-SSB-SC
446,OOK
447,BPSK
448,8PSK
449,4ASK
450,4ASK
451,AM-DSB-SC
452,QPSK
453,4ASK
454,4ASK
455,8PSK
456,OQPSK
457,AM-DSB-SC
458,AM-DSB-SC
459,4ASK
460,AM-SSB-SC
461,8PSK
462,OQPSK
463,OOK
464,4ASK
465,QPSK
466,AM-SSB-SC
467,4ASK
468,8PSK
469,4ASK
470,4ASK
471,4ASK
472,4ASK
473,AM-DSB-SC
474,OQPSK
475,4ASK
476,QPSK
477,FM
478,BPSK
479,AM-SSB-SC
480,4ASK
481,4ASK
482,OOK
483,QPSK
484,BPSK
485,AM-DSB-SC
486,AM-DSB-SC
487,QPSK
