Id,Category
0,OOK
1,OOK
2,QPSK
3,FM
4,QPSK
5,QPSK
6,QPSK
7,8PSK
8,QPSK
9,QPSK
10,QPSK
11,8PSK
12,QPSK
13,16PSK
14,8PSK
15,AM-DSB-SC
16,QPSK
17,FM
18,QPSK
19,4ASK
20,QPSK
21,AM-SSB-SC
22,QPSK
23,QPSK
24,QPSK
25,QPSK
26,OQPSK
27,OQPSK
28,16PSK
29,8PSK
30,AM-DSB-SC
31,QPSK
32,16PSK
33,QPSK
34,QPSK
35,OQPSK
36,OQPSK
37,OQPSK
38,QPSK
39,QPSK
40,16PSK
41,OOK
42,QPSK
43,8PSK
44,16PSK
45,QPSK
46,OOK
47,QPSK
48,QPSK
49,4ASK
50,OOK
51,QPSK
52,QPSK
53,AM-DSB-SC
54,AM-DSB-SC
55,OQPSK
56,QPSK
57,QPSK
58,OQPSK
59,QPSK
60,QPSK
61,4ASK
62,8PSK
63,4ASK
64,QPSK
65,QPSK
66,QPSK
67,AM-SSB-SC
68,AM-SSB-SC
69,QPSK
70,16PSK
71,8PSK
72,16PSK
73,BPSK
74,FM
75,OOK
76,QPSK
77,8PSK
78,QPSK
79,16PSK
80,QPSK
81,QPSK
82,QPSK
83,QPSK
84,QPSK
85,QPSK
86,QPSK
87,OOK
88,QPSK
89,BPSK
90,AM-SSB-SC
91,QPSK
92,4ASK
93,QPSK
94,AM-SSB-SC
95,QPSK
96,QPSK
97,QPSK
98,AM-DSB-SC
99,AM-SSB-SC
100,QPSK
101,QPSK
102,QPSK
103,16PSK
104,QPSK
105,QPSK
106,QPSK
107,OOK
108,QPSK
109,16PSK
110,QPSK
111,AM-DSB-SC
112,QPSK
113,AM-DSB-SC
114,BPSK
115,AM-SSB-SC
116,BPSK
117,OQPSK
118,QPSK
119,8PSK
120,QPSK
121,OOK
122,FM
123,8PSK
124,QPSK
125,QPSK
126,BPSK
127,AM-SSB-SC
128,8PSK
129,4ASK
130,AM-DSB-SC
131,QPSK
132,QPSK
133,FM
134,OQPSK
135,QPSK
136,OOK
137,8PSK
138,QPSK
139,16PSK
140,QPSK
141,AM-SSB-SC
142,FM
143,QPSK
144,AM-DSB-SC
145,QPSK
146,OOK
147,4ASK
148,AM-DSB-SC
149,BPSK
150,BPSK
151,QPSK
152,AM-DSB-SC
153,FM
154,4ASK
155,OOK
156,OOK
157,FM
158,BPSK
159,OQPSK
160,FM
161,QPSK
162,QPSK
163,QPSK
164,QPSK
165,QPSK
166,QPSK
167,4ASK
168,BPSK
169,16PSK
170,FM
171,8PSK
172,4ASK
173,QPSK
174,OOK
175,4ASK
176,8PSK
177,QPSK
178,QPSK
179,QPSK
180,OQPSK
181,QPSK
182,AM-DSB-SC
183,OOK
184,QPSK
185,QPSK
186,QPSK
187,QPSK
188,QPSK
189,8PSK
190,OQPSK
191,FM
192,4ASK
193,QPSK
194,QPSK
195,BPSK
196,AM-SSB-SC
197,QPSK
198,QPSK
199,OOK
200,OOK
201,AM-SSB-SC
202,BPSK
203,QPSK
204,QPSK
205,AM-DSB-SC
206,QPSK
207,QPSK
208,16PSK
209,QPSK
210,QPSK
211,OOK
212,4ASK
213,OQPSK
214,4ASK
215,QPSK
216,FM
217,QPSK
218,4ASK
219,16PSK
220,QPSK
221,QPSK
222,OOK
223,QPSK
224,QPSK
225,OQPSK
226,QPSK
227,AM-DSB-SC
228,OQPSK
229,4ASK
230,16PSK
231,16PSK
232,8PSK
233,OQPSK
234,BPSK
235,QPSK
236,16PSK
237,FM
238,QPSK
239,QPSK
240,AM-DSB-SC
241,QPSK
242,QPSK
243,OQPSK
244,QPSK
245,QPSK
246,OQPSK
247,16PSK
248,BPSK
249,QPSK
250,4ASK
251,16PSK
252,FM
253,OOK
254,BPSK
255,16PSK
256,QPSK
257,AM-DSB-SC
258,4ASK
259,OOK
260,AM-SSB-SC
261,8PSK
262,16PSK
263,FM
264,QPSK
265,QPSK
266,4ASK
267,8PSK
268,QPSK
269,QPSK
270,QPSK
271,QPSK
272,QPSK
273,AM-SSB-SC
274,OQPSK
275,QPSK
276,OQPSK
277,QPSK
278,16PSK
279,4ASK
280,QPSK
281,16PSK
282,4ASK
283,8PSK
284,AM-DSB-SC
285,BPSK
286,AM-DSB-SC
287,QPSK
288,8PSK
289,QPSK
290,BPSK
291,FM
292,QPSK
293,8PSK
294,4ASK
295,QPSK
296,QPSK
297,QPSK
298,8PSK
299,QPSK
300,QPSK
301,8PSK
302,BPSK
303,8PSK
304,AM-DSB-SC
305,QPSK
306,16PSK
307,BPSK
308,QPSK
309,OOK
310,BPSK
311,FM
312,QPSK
313,8PSK
314,QPSK
315,16PSK
316,4ASK
317,AM-SSB-SC
318,FM
319,16PSK
320,8PSK
321,QPSK
322,BPSK
323,AM-DSB-SC
324,QPSK
325,4ASK
326,8PSK
327,BPSK
328,8PSK
329,8PSK
330,8PSK
331,4ASK
332,BPSK
333,QPSK
334,BPSK
335,AM-DSB-SC
336,4ASK
337,QPSK
338,QPSK
339,QPSK
340,QPSK
341,QPSK
342,QPSK
343,QPSK
344,AM-DSB-SC
345,FM
346,QPSK
347,QPSK
348,4ASK
349,AM-DSB-SC
350,16PSK
351,4ASK
352,16PSK
353,OOK
354,OOK
355,QPSK
356,QPSK
357,QPSK
358,BPSK
359,4ASK
360,QPSK
361,8PSK
362,FM
363,AM-DSB-SC
364,QPSK
365,OQPSK
366,QPSK
367,4ASK
368,4ASK
369,8PSK
370,QPSK
371,FM
372,QPSK
373,4ASK
374,QPSK
375,QPSK
376,AM-DSB-SC
377,8PSK
378,8PSK
379,QPSK
380,OOK
381,QPSK
382,QPSK
383,8PSK
384,QPSK
385,BPSK
386,FM
387,QPSK
388,QPSK
389,4ASK
390,QPSK
391,4ASK
392,4ASK
393,QPSK
394,QPSK
395,QPSK
396,OOK
397,QPSK
398,QPSK
399,OQPSK
400,AM-DSB-SC
401,QPSK
402,QPSK
403,8PSK
404,QPSK
405,QPSK
406,8PSK
407,AM-SSB-SC
408,AM-DSB-SC
409,4ASK
410,OOK
411,16PSK
412,8PSK
413,QPSK
414,QPSK
415,4ASK
416,16PSK
417,8PSK
418,QPSK
419,AM-DSB-SC
420,8PSK
421,BPSK
422,QPSK
423,QPSK
424,AM-SSB-SC
425,QPSK
426,QPSK
427,8PSK
428,OOK
429,QPSK
430,OQPSK
431,8PSK
432,QPSK
433,AM-DSB-SC
434,QPSK
435,8PSK
436,4ASK
437,OQPSK
438,FM
439,8PSK
440,QPSK
441,OOK
442,4ASK
443,8PSK
444,QPSK
445,4ASK
446,QPSK
447,BPSK
448,8PSK
449,QPSK
450,QPSK
451,16PSK
452,QPSK
453,QPSK
454,QPSK
455,8PSK
456,OQPSK
457,AM-DSB-SC
458,4ASK
459,QPSK
460,16PSK
461,8PSK
462,OQPSK
463,OOK
464,QPSK
465,QPSK
466,16PSK
467,QPSK
468,8PSK
469,16PSK
470,4ASK
471,QPSK
472,QPSK
473,AM-SSB-SC
474,OQPSK
475,QPSK
476,OQPSK
477,FM
478,BPSK
479,BPSK
480,OQPSK
481,QPSK
482,OOK
483,QPSK
484,BPSK
485,8PSK
486,16PSK
487,QPSK
488,QPSK
489,QPSK
490,QPSK
491,FM
492,4ASK
493,OQPSK
494,8PSK
495,QPSK
496,BPSK
497,QPSK
498,BPSK
499,BPSK
500,4ASK
501,QPSK
502,QPSK
503,AM-SSB-SC
504,QPSK
505,QPSK
506,16PSK
507,QPSK
508,OOK
509,QPSK
510,AM-DSB-SC
511,16PSK
512,4ASK
513,AM-SSB-SC
514,QPSK
515,QPSK
516,OOK
517,AM-DSB-SC
518,OQPSK
519,QPSK
